date;Average Hourly Earnings of Production and Nonsupervisory Employees, Total Private;Average Hourly Earnings of Production and Nonsupervisory Employees, Goods-Producing;Average Hourly Earnings of Production and Nonsupervisory Employees, Private Service-Providing;Average Weekly Hours of All Employees, Total Private;Average Weekly Hours of All Employees, Goods-Producing;Average Weekly Hours of All Employees, Private Service-Providing;All Employees, Total Nonfarm;All Employees, Total Private;All Employees, Goods-Producing;All Employees, Private Service-Providing;All Employees, Government
1972-02-01;3,82;3,96;3,74;;;;72648;59350;21915;37435;13298
1972-03-01;3,84;3,99;3,76;;;;72944;59615;22036;37579;13329
1972-04-01;3,86;4,01;3,78;;;;73162;59804;22099;37705;13358
1972-05-01;3,88;4,03;3,78;;;;73469;60053;22222;37831;13416
1972-06-01;3,88;4,03;3,79;;;;73758;60353;22282;38071;13405
1972-07-01;3,9;4,04;3,81;;;;73709;60227;22162;38065;13482
1972-08-01;3,92;4,08;3,83;;;;74141;60611;22400;38211;13530
1972-09-01;3,94;4,11;3,84;;;;74264;60689;22456;38233;13575
1972-10-01;3,97;4,14;3,87;;;;74674;61068;22613;38455;13606
1972-11-01;3,99;4,15;3,89;;;;74973;61330;22688;38642;13643
1972-12-01;4,0;4,17;3,9;;;;75268;61584;22772;38812;13684
1973-01-01;4,03;4,22;3,91;;;;75617;61927;22955;38972;13690
1973-02-01;4,05;4,22;3,94;;;;76014;62303;23160;39143;13711
1973-03-01;4,06;4,24;3,95;;;;76284;62539;23262;39277;13745
1973-04-01;4,09;4,27;3,98;;;;76455;62678;23316;39362;13777
1973-05-01;4,1;4,29;3,99;;;;76648;62831;23382;39449;13817
1973-06-01;4,12;4,32;4,0;;;;76887;63015;23485;39530;13872
1973-07-01;4,15;4,35;4,03;;;;76913;63048;23522;39526;13865
1973-08-01;4,16;4,36;4,04;;;;77168;63264;23559;39705;13904
1973-09-01;4,2;4,4;4,07;;;;77276;63384;23548;39836;13892
1973-10-01;4,21;4,42;4,08;;;;77607;63630;23641;39989;13977
1973-11-01;4,24;4,45;4,1;;;;77920;63885;23719;40166;14035
1973-12-01;4,25;4,46;4,12;;;;78031;63961;23779;40182;14070
1974-01-01;4,27;4,46;4,15;;;;78100;64010;23709;40301;14090
1974-02-01;4,29;4,51;4,16;;;;78254;64119;23718;40401;14135
1974-03-01;4,32;4,53;4,19;;;;78296;64144;23687;40457;14152
1974-04-01;4,33;4,54;4,21;;;;78382;64191;23670;40521;14191
1974-05-01;4,4;4,62;4,26;;;;78549;64328;23635;40693;14221
1974-06-01;4,44;4,67;4,3;;;;78604;64365;23591;40774;14239
1974-07-01;4,45;4,7;4,3;;;;78636;64348;23462;40886;14288
1974-08-01;4,49;4,76;4,33;;;;78619;64291;23396;40895;14328
1974-09-01;4,53;4,81;4,36;;;;78610;64188;23274;40914;14422
1974-10-01;4,56;4,86;4,39;;;;78630;64146;23118;41028;14484
1974-11-01;4,57;4,88;4,4;;;;78265;63733;22773;40960;14532
1974-12-01;4,6;4,92;4,43;;;;77652;63093;22303;40790;14559
1975-01-01;4,61;4,95;4,43;;;;77293;62669;21974;40695;14624
1975-02-01;4,64;4,98;4,46;;;;76918;62171;21512;40659;14747
1975-03-01;4,67;5,03;4,48;;;;76648;61894;21274;40620;14754
1975-04-01;4,67;5,04;4,48;;;;76460;61665;21109;40556;14795
1975-05-01;4,69;5,06;4,5;;;;76624;61797;21097;40700;14827
1975-06-01;4,72;5,09;4,54;;;;76521;61737;21018;40719;14784
1975-07-01;4,74;5,11;4,55;;;;76770;61909;20981;40928;14861
1975-08-01;4,78;5,15;4,58;;;;77153;62283;21176;41107;14870
1975-09-01;4,79;5,17;4,59;;;;77228;62404;21284;41120;14824
1975-10-01;4,82;5,19;4,62;;;;77540;62640;21384;41256;14900
1975-11-01;4,86;5,22;4,66;;;;77685;62782;21442;41340;14903
1975-12-01;4,87;5,25;4,67;;;;78017;63071;21602;41469;14946
1976-01-01;4,9;5,29;4,69;;;;78503;63534;21799;41735;14969
1976-02-01;4,93;5,33;4,72;;;;78816;63835;21893;41942;14981
1976-03-01;4,95;5,36;4,74;;;;79048;64061;21980;42081;14987
1976-04-01;4,98;5,38;4,76;;;;79292;64307;22050;42257;14985
