date;Industrial Production: Total Index;Industrial Production: Manufacturing;Industrial Production: Mining: Mining;Industrial Production: Utilities: Electric and Gas Utilities;Capacity Utilization: Total Index;Capacity Utilization: Manufacturing;Capacity Utilization: Mining;Capacity Utilization: Utilities: Electric and Gas Utilities
1975-07-01;40,6187;38,3308;82,3335;49,8472;75,13;73,0571;87,9391;85,1739
1975-08-01;41,0204;38,7193;83,0209;50,3107;75,7493;73,6786;88,6558;85,659
1975-09-01;41,5526;39,3661;82,6729;50,0825;76,6023;74,784;88,2641;84,9645
1975-10-01;41,7303;39,5689;82,8977;49,9504;76,7949;75,0374;88,482;84,4362
1975-11-01;41,7882;39,6277;83,9201;49,3736;76,7613;75,011;89,5484;83,1632
1975-12-01;42,3527;40,195;84,133;50,2483;77,6515;75,939;89,748;84,3385
1976-01-01;42,9179;40,6684;85,6914;51,4279;78,5352;76,6805;91,3791;86,0196
1976-02-01;43,3469;41,2649;85,2811;50,3794;79,1583;77,6406;90,907;83,9802
1976-03-01;43,4396;41,3971;84,2632;50,7329;79,1609;77,7181;89,7829;84,2898
1976-04-01;43,6562;41,6334;83,9324;51,1106;79,3847;77,9847;89,3848;84,6456
1976-05-01;43,842;41,848;84,1179;50,967;79,5472;78,2036;89,5274;84,1464
1976-06-01;43,8892;41,8932;83,6188;51,4188;79,4537;78,0998;88,9303;84,6384
1976-07-01;44,1328;42,1981;82,849;51,6203;79,7129;78,4758;88,0342;84,7274
1976-08-01;44,4373;42,472;83,9726;51,8166;80,0788;78,7891;89,136;84,8179
1976-09-01;44,5848;42,5943;84,2291;52,2433;80,1586;78,8176;89,3012;85,2943
1976-10-01;44,5707;42,5453;84,0572;52,7837;79,9457;78,5268;88,9963;85,9629
1976-11-01;45,2543;43,11;84,6731;55,202;80,9791;79,3636;89,508;89,6884
1976-12-01;45,7422;43,576;85,7738;55,6427;81,6559;80,0129;90,5131;90,2004
1977-01-01;45,4293;43,4013;83,1426;55,1956;80,9038;79,486;87,5665;89,283
1977-02-01;46,1459;44,2022;86,0506;53,3811;81,9747;80,7349;90,4341;86,169
1977-03-01;46,7314;44,8533;87,5797;52,5708;82,8042;81,7011;91,8227;84,6917
