date;Chicago Fed National Activity Index;Chicago Fed National Activity Index: Three Month Moving Average;Chicago Fed National Activity Index: Diffusion Index;Chicago Fed National Activity Index: Personal Consumption and Housing;Chicago Fed National Activity Index: Production and Income;Chicago Fed National Activity Index: Sales, Orders and Inventories;Chicago Fed National Activity Index: Employment, Unemployment and Hours
2010-06-01;-0,16;0,18;0,27;-0,22;0,01;0,13;-0,08
2010-07-01;0,14;0,1;0,19;-0,22;0,11;0,17;0,08
2010-08-01;-0,16;-0,06;0,04;-0,19;0,04;0,0;-0,01
2010-09-01;-0,2;-0,07;-0,01;-0,2;0,0;0,01;-0,01
2010-10-01;-0,12;-0,16;-0,08;-0,19;-0,04;0,01;0,1
2010-11-01;-0,18;-0,17;-0,09;-0,2;-0,01;0,04;-0,02
2010-12-01;0,08;-0,07;0,0;-0,24;0,25;0,03;0,03
2011-01-01;0,02;-0,03;-0,04;-0,2;-0,01;0,23;0,0
2011-02-01;-0,39;-0,1;0,01;-0,26;-0,04;-0,29;0,2
2011-03-01;0,4;0,01;0,16;-0,2;0,23;0,27;0,1
2011-04-01;-0,48;-0,16;0,05;-0,25;-0,18;-0,11;0,06
2011-05-01;-0,34;-0,14;0,04;-0,27;0,01;-0,14;0,05
2011-06-01;0,0;-0,28;-0,16;-0,18;0,03;0,1;0,04
2011-07-01;0,15;-0,06;0,1;-0,21;0,15;0,1;0,1
2011-08-01;-0,02;0,04;0,2;-0,23;0,12;0,12;-0,03
2011-09-01;-0,26;-0,04;0,18;-0,16;-0,03;-0,2;0,14
2011-10-01;0,16;-0,04;0,19;-0,18;0,11;0,19;0,03
2011-11-01;-0,34;-0,15;0,03;-0,18;-0,13;-0,07;0,04
2011-12-01;0,26;0,02;0,21;-0,17;0,18;0,15;0,11
2012-01-01;0,35;0,09;0,27;-0,14;0,22;0,07;0,2
2012-02-01;0,01;0,21;0,5;-0,12;0,08;0,02;0,03
2012-03-01;-0,4;-0,01;0,25;-0,19;-0,28;-0,07;0,14
2012-04-01;0,06;-0,11;0,11;-0,18;0,23;0,03;-0,02
2012-05-01;-0,18;-0,18;-0,03;-0,17;-0,06;0,02;0,03
2012-06-01;-0,33;-0,15;-0,04;-0,19;-0,03;-0,12;0,01
2012-07-01;-0,29;-0,27;-0,19;-0,14;-0,13;0,0;-0,01
2012-08-01;-0,44;-0,35;-0,33;-0,14;-0,17;-0,15;0,02
2012-09-01;-0,1;-0,28;-0,28;-0,12;-0,12;0,04;0,09
2012-10-01;-0,27;-0,27;-0,26;-0,14;-0,05;-0,09;0,01
2012-11-01;0,28;-0,03;-0,01;-0,08;0,14;0,23;0,0
2012-12-01;0,14;0,05;0,16;-0,09;0,15;0,0;0,09
2013-01-01;-0,34;0,03;0,19;-0,08;-0,3;0,03;0,02
2013-02-01;0,24;0,02;0,24;-0,1;0,11;0,07;0,16
2013-03-01;-0,27;-0,12;0,03;-0,11;0,02;-0,2;0,02
2013-04-01;-0,31;-0,11;-0,06;-0,13;-0,13;-0,03;-0,02
2013-05-01;0,15;-0,14;-0,11;-0,07;0,01;0,15;0,06
2013-06-01;-0,15;-0,1;0,01;-0,14;0,02;-0,06;0,02
2013-07-01;-0,52;-0,18;-0,01;-0,09;-0,26;-0,13;-0,04
2013-08-01;0,29;-0,13;0,02;-0,13;0,22;0,09;0,12
2013-09-01;0,1;-0,04;0,11;-0,1;0,08;0,08;0,04
2013-10-01;-0,01;0,13;0,29;-0,08;-0,03;0,05;0,04
2013-11-01;0,29;0,13;0,28;-0,06;0,0;0,21;0,14
2013-12-01;-0,15;0,04;0,1;-0,09;0,03;-0,12;0,03
2014-01-01;-0,71;-0,19;-0,07;-0,2;-0,33;-0,21;0,03
2014-02-01;0,44;-0,14;-0,07;-0,03;0,27;0,14;0,06
2014-03-01;0,48;0,07;0,23;-0,02;0,29;0,09;0,13
2014-04-01;0,03;0,32;0,35;-0,06;-0,05;-0,02;0,16
2014-05-01;0,11;0,21;0,31;-0,09;0,07;0,04;0,09
2014-06-01;0,13;0,09;0,19;-0,08;0,06;0,0;0,15
2014-07-01;0,29;0,17;0,28;-0,07;0,08;0,23;0,04
2014-08-01;-0,22;0,06;0,15;-0,03;-0,14;-0,18;0,13
2014-09-01;0,02;0,03;0,1;-0,1;0,05;-0,02;0,09
2014-10-01;0,03;-0,06;0,02;-0,03;-0,03;-0,02;0,11
2014-11-01;0,25;0,1;0,15;-0,05;0,29;-0,03;0,04
2014-12-01;0,07;0,12;0,13;-0,06;-0,08;0,07;0,13
2015-01-01;-0,25;0,02;0,08;-0,04;-0,21;-0,05;0,05
2015-02-01;-0,47;-0,22;-0,09;-0,14;-0,28;-0,12;0,07
2015-03-01;0,0;-0,24;-0,14;-0,05;0,01;0,09;-0,06
2015-04-01;-0,01;-0,16;-0,05;-0,04;-0,15;0,08;0,1
2015-05-01;-0,35;-0,12;-0,06;-0,05;-0,1;-0,24;0,05
2015-06-01;-0,13;-0,16;-0,18;-0,05;-0,16;0,05;0,03
2015-07-01;0,32;-0,05;-0,1;-0,02;0,19;-0,01;0,16
2015-08-01;-0,26;-0,02;-0,17;-0,05;-0,11;-0,05;-0,05
2015-09-01;-0,13;-0,03;-0,09;-0,05;-0,18;0,11;-0,02
2015-10-01;-0,25;-0,22;-0,3;-0,09;-0,17;-0,07;0,07
2015-11-01;-0,36;-0,25;-0,29;-0,03;-0,25;-0,11;0,03
2015-12-01;-0,29;-0,3;-0,34;-0,02;-0,22;-0,11;0,07
2016-01-01;0,08;-0,19;-0,24;-0,07;0,11;-0,03;0,08
2016-02-01;-0,22;-0,14;-0,17;0,04;-0,21;0,01;-0,06
2016-03-01;-0,33;-0,16;-0,21;-0,13;-0,22;-0,01;0,02
2016-04-01;-0,13;-0,23;-0,3;-0,06;-0,02;-0,02;-0,03
2016-05-01;-0,34;-0,27;-0,43;-0,06;-0,11;-0,16;-0,01
2016-06-01;0,12;-0,12;-0,21;0,0;0,08;0,01;0,03
2016-07-01;0,03;-0,06;-0,14;-0,03;-0,02;-0,04;0,13
2016-08-01;-0,18;-0,01;-0,11;-0,06;-0,13;0,09;-0,08
2016-09-01;-0,09;-0,08;-0,22;-0,06;-0,04;-0,02;0,03
2016-10-01;-0,05;-0,11;-0,29;-0,04;-0,04;0,04;0,0
2016-11-01;-0,21;-0,12;-0,24;-0,07;-0,14;-0,07;0,06
2016-12-01;0,39;0,04;-0,07;0,04;0,13;0,18;0,05
2017-01-01;-0,11;0,02;0,01;-0,06;-0,08;0,04;-0,01
2017-02-01;-0,08;0,07;0,09;-0,05;-0,13;-0,02;0,12
2017-03-01;0,01;-0,06;-0,06;-0,04;0,05;-0,06;0,06
2017-04-01;0,31;0,08;0,06;-0,05;0,34;-0,08;0,11
2017-05-01;0,0;0,11;0,09;-0,07;0,01;0,06;-0,01
2017-06-01;0,16;0,15;0,18;0,0;-0,01;0,03;0,13
2017-07-01;-0,16;0,0;-0,01;-0,04;-0,13;-0,01;0,02
2017-08-01;0,0;0,0;-0,03;-0,08;-0,13;0,14;0,07
2017-09-01;0,18;0,01;-0,04;0,02;0,01;0,07;0,08
2017-10-01;0,52;0,23;0,19;-0,03;0,4;0,11;0,04
2017-11-01;0,23;0,31;0,33;0,01;0,05;0,12;0,05
2017-12-01;0,19;0,32;0,3;0,01;0,02;0,13;0,03
2018-01-01;-0,26;0,06;0,06;-0,09;-0,06;-0,2;0,11
2018-02-01;0,5;0,15;0,14;-0,03;0,21;0,12;0,2
2018-03-01;0,09;0,11;0,13;-0,02;0,04;-0,01;0,08
2018-04-01;0,37;0,32;0,3;-0,05;0,34;0,01;0,06
2018-05-01;-0,16;0,1;0,16;0,03;-0,41;0,09;0,14
2018-06-01;0,22;0,14;0,19;-0,07;0,26;-0,04;0,07
2018-07-01;0,02;0,02;0,07;-0,02;-0,01;-0,01;0,05
2018-08-01;0,32;0,18;0,14;-0,04;0,18;0,13;0,04
2018-09-01;-0,01;0,11;0,04;-0,08;-0,03;0,02;0,07
2018-10-01;-0,24;0,02;-0,06;-0,01;-0,12;-0,13;0,03
2018-11-01;-0,01;-0,09;-0,21;0,0;-0,07;0,0;0,06
2018-12-01;-0,16;-0,14;-0,19;-0,2;0,03;0,02;-0,01
2019-01-01;-0,31;-0,16;-0,15;-0,03;-0,31;-0,03;0,06
2019-02-01;-0,33;-0,27;-0,23;-0,08;-0,18;0,02;-0,09
2019-03-01;-0,08;-0,24;-0,22;0,02;-0,08;-0,08;0,05
2019-04-01;-0,54;-0,32;-0,29;-0,07;-0,31;-0,2;0,04
2019-05-01;0,0;-0,21;-0,14;0,0;0,0;0,01;-0,01
2019-06-01;0,11;-0,14;-0,08;-0,02;0,04;0,02;0,07
2019-07-01;-0,39;-0,09;-0,05;0,0;-0,26;-0,09;-0,05
2019-08-01;0,2;-0,03;0,05;0,01;0,16;0,0;0,03
2019-09-01;-0,39;-0,19;-0,12;-0,05;-0,25;-0,1;0,01
2019-10-01;-0,76;-0,32;-0,24;-0,04;-0,39;-0,26;-0,08
2019-11-01;0,21;-0,31;-0,32;0,04;0,21;-0,02;-0,02
2019-12-01;-0,38;-0,31;-0,36;0,0;-0,16;-0,15;-0,08
2020-01-01;-0,21;-0,13;-0,21;0,0;-0,15;-0,08;0,03
2020-02-01;0,12;-0,16;-0,18;-0,02;0,04;0,09;0,01
2020-03-01;-4,4;-1,5;-0,29;-0,72;-1,71;-0,85;-1,12
2020-04-01;-18,13;-7,47;-0,54;-1,32;-5,64;-2,37;-8,8
2020-05-01;4,71;-5,94;-0,4;1,04;1,03;0,79;1,85
2020-06-01;6,26;-2,39;0,16;0,51;2,41;1,41;1,93
2020-07-01;2,53;4,5;0,76;0,12;1,25;0,58;0,58
2020-08-01;1,26;3,35;0,76;0,01;0,4;0,11;0,74
2020-09-01;0,51;1,43;0,63;0,12;-0,04;0,05;0,38
2020-10-01;0,88;0,88;0,56;-0,02;0,27;0,18;0,45
2020-11-01;0,28;0,56;0,46;-0,04;0,13;0,06;0,13
2020-12-01;0,62;0,6;0,47;0,05;0,36;0,21;0,01
2021-01-01;0,91;0,61;0,47;0,18;0,31;0,31;0,11
2021-02-01;-1,71;-0,06;0,27;-0,2;-1,3;-0,37;0,15
2021-03-01;2,29;0,5;0,36;0,61;1,06;0,24;0,38
2021-04-01;0,1;0,23;0,17;0,03;-0,01;0,02;0,07
2021-05-01;0,24;0,88;0,38;-0,09;0,33;-0,19;0,18
2021-06-01;0,29;0,21;0,23;0,04;0,03;0,09;0,11
2021-07-01;0,79;0,44;0,42;-0,11;0,28;0,21;0,4
2021-08-01;0,15;0,41;0,31;0,04;-0,06;-0,02;0,19
2021-09-01;-0,01;0,31;0,25;0,02;-0,33;0,07;0,22
2021-10-01;0,83;0,32;0,3;0,06;0,37;0,07;0,33
2021-11-01;0,75;0,52;0,52;0,02;0,32;0,12;0,3
2021-12-01;0,18;0,59;0,5;-0,05;-0,11;0,11;0,22
2022-01-01;-0,1;0,28;0,24;0,04;-0,09;-0,06;0,02
2022-02-01;0,59;0,22;0,16;0,02;0,3;-0,13;0,4
2022-03-01;0,45;0,31;0,33;0,07;0,2;-0,03;0,22
2022-04-01;0,04;0,36;0,32;0,08;0,06;-0,12;0,02
2022-05-01;-0,36;0,04;0,1;-0,05;-0,15;-0,2;0,05
2022-06-01;-0,24;-0,19;-0,21;-0,02;-0,18;-0,07;0,03
2022-07-01;0,2;-0,13;-0,06;-0,03;0,07;0,02;0,14
2022-08-01;0,18;0,05;0,13;0,04;-0,02;0,21;-0,06
2022-09-01;0,07;0,15;0,27;0,01;-0,01;-0,02;0,1
2022-10-01;-0,08;0,06;0,15;0,01;-0,06;-0,05;0,02
2022-11-01;-0,56;-0,19;-0,11;-0,1;-0,24;-0,19;-0,02
2022-12-01;-0,53;-0,39;-0,2;-0,04;-0,71;0,22;0,01
2023-01-01;0,45;-0,21;-0,09;0,1;0,36;-0,11;0,1
2023-02-01;-0,28;-0,12;-0,03;-0,05;-0,05;-0,1;-0,09
2023-03-01;-0,54;-0,12;-0,14;-0,09;-0,2;-0,2;-0,05
2023-04-01;0,1;-0,24;-0,23;-0,03;0,18;-0,12;0,07
2023-05-01;-0,17;-0,2;-0,16;0,02;-0,19;0,07;-0,07
2023-06-01;-0,4;-0,15;-0,08;-0,02;-0,35;-0,04;0,01
2023-07-01;0,19;-0,13;-0,01;0,03;0,15;0,05;-0,04
2023-08-01;-0,25;-0,15;-0,14;-0,05;-0,11;-0,08;-0,01
2023-09-01;0,0;-0,02;0,01;0,01;-0,03;0,03;-0,01
2023-10-01;-0,61;-0,29;-0,33;-0,03;-0,31;-0,15;-0,12
2023-11-01;0,22;-0,13;-0,11;0,02;0,08;0,12;0,01
2023-12-01;-0,14;-0,18;-0,16;0,03;-0,15;0,01;-0,03
2024-01-01;-0,8;-0,24;-0,1;-0,1;-0,42;-0,27;-0,02
2024-02-01;0,29;-0,22;-0,09;0,02;0,29;-0,01;-0,01
2024-03-01;-0,18;-0,23;-0,18;0,0;-0,13;-0,06;0,0
2024-04-01;-0,26;-0,05;-0,13;-0,06;-0,15;-0,01;-0,05
2024-05-01;0,18;-0,09;-0,16;-0,03;0,23;-0,02;0,0
