date;Total Private Construction Spending: Amusement and Recreation in the United States;Total Private Construction Spending: Commercial in the United States;Total Private Construction Spending: Communication in the United States;Total Private Construction Spending: Educational in the United States;Total Private Construction Spending: Health Care in the United States;Total Private Construction Spending: Lodging in the United States;Total Private Construction Spending: Manufacturing in the United States;Total Private Construction Spending: Nonresidential in the United States;Total Private Construction Spending: Office in the United States;Total Private Construction Spending: Power in the United States;Total Private Construction Spending: Religious in the United States;Total Private Construction Spending: Residential in the United States;Total Private Construction Spending: Transportation in the United States;Total Public Construction Spending: Amusement and Recreation in the United States;Total Public Construction Spending: Commercial in the United States;Total Public Construction Spending: Conservation and Development in the United States;Total Public Construction Spending: Educational in the United States;Total Public Construction Spending: Health Care in the United States;Total Public Construction Spending: Highway and Street in the United States;Total Public Construction Spending: Nonresidential in the United States;Total Public Construction Spending: Office in the United States;Total Public Construction Spending: Power in the United States;Total Public Construction Spending: Public Safety in the United States;Total Public Construction Spending: Residential in the United States;Total Public Construction Spending: Sewage and Waste Disposal in the United State;Total Public Construction Spending: Transportation in the United States;Total Public Construction Spending: Water Supply in the United States
01/10/2013;7462;53799;17829;17421;29887;13902;52232;333928;32580;93220;3477;346273;10914;8722;1879;5930;62171;10770;80082;265538;8156;11917;9288;5476;23247;28790;13205
01/11/2013;7328;55819;18468;16711;29985;14413;52525;340714;34125;96027;3501;353317;10623;8546;2059;5785;62349;10841;80428;264436;7626;13111;9651;5656;22125;27943;12991
01/12/2013;7064;55786;17853;16492;29221;13804;57978;348710;34857;100577;3450;360754;10461;8753;1977;6524;59691;10259;82300;264407;7647;14340;9187;5340;22127;28726;11849
01/01/2014;7159;52979;17841;16199;28743;14864;55426;353903;35629;109633;3380;368359;10643;8120;1772;6080;59754;10436;80761;259332;7557;13632;9537;4994;20540;28871;11357
01/02/2014;7074;55634;18168;15435;28660;15742;53740;359437;35632;114155;3265;363860;10878;7595;1726;6471;59956;10513;81816;259309;7844;12236;9082;4932;20158;29434;11323
01/03/2014;7287;56516;17734;16434;28074;14880;51172;355615;35293;112165;3605;369329;11302;8281;1656;6669;59552;9586;83534;261315;8060;11927;9237;4899;20731;28739;12270
01/04/2014;7564;56603;17479;16999;28487;15231;53868;360049;38601;108855;3161;375347;12114;8762;1762;6643;63160;10007;83515;266791;7776;12129;9132;4714;21537;28633;12727
01/05/2014;7415;58481;17010;16792;28799;14892;53158;356841;38291;105224;3172;376671;12422;9454;2001;6768;63679;9251;83769;268891;7597;10601;9316;4744;21883;30086;13529
01/06/2014;7572;59488;16725;17311;28252;15294;58530;360030;39271;100608;3268;372569;12366;9221;1943;7639;64423;9883;80234;268746;7611;11416;9090;5079;23712;29999;12614
01/07/2014;7825;61086;16628;16683;28985;16304;57665;359951;38962;99266;3386;372572;11799;9364;1863;7213;64607;9889;83391;277289;7872;14744;9693;5124;23585;30499;13163
01/08/2014;7428;62864;16863;16918;28622;16153;59052;360732;39245;96998;3395;372893;11594;9493;1983;6921;66200;9675;85720;276372;7514;11697;9045;5099;23728;29901;13055
01/09/2014;7720;65759;16830;15878;28675;17047;61635;363100;40699;91731;3404;382053;11995;9237;2193;7490;63303;9450;84997;271427;7584;10328;9211;5311;23459;29687;13241
01/10/2014;8289;66811;16843;16741;29680;18461;70768;373536;41513;86251;3502;386299;13039;9420;2252;8059;64228;9857;88426;281451;7628;12852;9411;5115;24015;30639;13341
01/11/2014;8450;66363;16779;16965;29692;18199;73302;373100;40546;83939;3537;391521;13435;9611;2131;7411;62851;9730;87449;274922;7670;9422;9053;5350;24480;30627;13488
01/12/2014;8733;65674;17176;16517;29945;18504;71119;370648;41829;82163;3402;401584;13481;9420;2067;7818;63404;9095;87541;278868;7972;11916;8658;5329;25863;30723;13232
01/01/2015;8381;62807;18133;16125;30610;18547;76229;374782;42861;82616;3321;405105;13454;9678;1930;7464;61713;8906;86174;274048;8362;12537;8047;7305;24090;30821;13117
01/02/2015;8997;60463;18592;16303;30282;18721;79694;382163;43717;87415;3381;410055;12967;10019;2045;7901;62104;8872;86274;273518;8180;11883;8110;7159;24236;31089;11624
01/03/2015;8754;61976;19369;16624;30723;18921;80123;393447;44805;93754;3288;409845;13496;10152;2148;7500;63497;8861;83637;275691;8020;13003;8284;7766;24356;32251;12430
01/04/2015;9405;63926;20941;17125;31263;20014;82248;407690;46409;98410;3551;415034;12860;10611;2018;8147;66695;8688;89499;284898;8343;12501;8007;7997;24486;32311;12314
01/05/2015;9686;65066;21653;17817;31421;21528;83638;418064;49359;99702;3676;422979;12850;10591;2359;7851;68147;9141;90061;286423;8922;11844;7928;7967;23918;32008;12300
01/06/2015;10523;62132;21457;18710;31760;22921;87946;424797;52110;98799;3721;433746;13238;11095;2717;7420;70876;8885;92197;293462;8063;11045;8349;6189;25143;32395;13695
01/07/2015;10329;63185;22292;18517;30064;21975;82296;414231;47544;98733;3855;439819;13803;10887;2815;7979;71289;8664;91556;293935;8217;12409;8333;6576;25055;31821;13121
01/08/2015;10287;65073;22607;18834;31679;23409;83628;419103;49414;94669;3679;439616;14213;10949;3107;8111;71088;8586;96002;299228;7868;15412;8363;6429;23696;31620;12816
01/09/2015;10816;66059;22858;18042;31181;23012;86539;416898;48798;89611;3835;448021;14323;10648;2727;7409;69688;8500;93624;292381;7880;11772;8603;6637;24328;32092;13001
01/10/2015;11004;67466;23306;17761;31129;22761;84557;411466;48159;85804;3744;448256;14054;10558;2425;7559;66515;8448;91902;285219;8130;10571;8956;6593;23919;31045;13390
01/11/2015;11356;66794;22945;17667;31160;22444;83469;410953;50424;85651;3505;446990;14102;10063;2430;7673;67743;8607;90004;280966;7816;10542;8121;6600;23148;30591;12832
01/12/2015;10612;68559;22716;17926;30033;22811;79245;405378;49894;85854;3369;452947;13321;10622;2792;6656;67964;8617;100006;291679;8024;10137;8188;6349;24116;30335;12710
01/01/2016;10535;69913;22843;18385;29990;23196;77111;401068;50683;81200;3482;456468;12653;10335;3000;7388;69600;8578;100723;297174;7725;11167;8202;6279;26102;29815;13094
01/02/2016;10951;71270;20506;18905;30508;23884;79181;409310;54829;82712;3425;462448;11990;10659;3066;7566;69891;8518;93265;294814;7951;12521;8081;6279;27125;30931;13600
01/03/2016;11543;71561;19981;19132;32147;26054;80125;419150;55474;86246;3627;469622;12341;10906;3443;7930;71066;8887;94414;293709;7945;10012;7712;6296;25501;30700;13676
01/04/2016;12576;72476;20492;18956;30776;26085;79989;422929;57365;86712;3808;468416;12733;11255;3415;8384;70634;8884;89949;288224;7783;10613;7864;6334;25291;29422;13379
01/05/2016;12612;74462;20965;19027;31143;26872;81361;430910;57176;88955;3670;468910;13640;11441;3592;8148;69577;8336;88069;284473;7861;11575;8023;6393;23101;29854;13536
01/06/2016;12970;73624;21345;20241;31322;27408;82181;441636;60032;90865;3951;474571;16588;11548;3262;8046;74966;8793;91533;295069;8066;12008;7934;6328;22894;30286;14422
01/07/2016;12700;75914;21528;20995;31884;26856;81731;445429;61422;93166;3890;476926;14237;10880;2713;7141;71921;8822;90572;285899;8046;9654;7746;6279;22691;30737;13620
01/08/2016;12771;77350;22086;20124;32150;27051;79882;448016;62814;95847;4029;481061;12970;10820;3001;7233;73614;8794;90706;285489;8203;8449;7541;6683;23546;28877;13196
01/09/2016;13093;77502;22612;21068;33427;28347;77125;451562;63241;97635;3822;482953;12810;10731;3019;7922;72576;9161;93865;291495;8350;8499;8207;6428;23075;30652;14034
01/10/2016;13465;78275;22927;20917;32007;27154;74966;446695;63377;96891;3513;496403;12161;11162;3002;6902;71146;8865;97083;290685;7966;8124;8260;7316;23219;30577;13284
01/11/2016;13874;79653;23754;21239;32261;28543;76758;458428;65110;100087;3825;504630;12333;11373;3270;7962;71314;8805;98311;294870;8951;7539;8187;6952;22564;30521;14977
01/12/2016;13595;82752;24530;21444;32789;27828;75736;461342;64316;100889;3729;512328;12706;11608;3295;7552;71012;9094;93101;289848;8683;7625;9064;6925;21713;31629;14129
01/01/2017;13268;80618;23560;21534;32657;28604;72253;456087;62808;103597;3450;510981;12776;11409;3141;7231;73660;8607;89547;280958;8547;6901;7654;6556;21309;28904;12878
01/02/2017;13972;81551;23506;21250;32340;27829;69398;448256;60232;100755;3488;531553;12985;12123;3257;7254;73643;9675;92897;289328;8703;6724;8158;6774;22518;30390;12820
01/03/2017;13681;83361;23008;20958;32800;28414;71235;448499;60198;96793;3541;526970;13590;13103;3132;7635;72879;9899;91618;290063;8612;6550;8450;7191;21906;30936;13965
01/04/2017;14445;85800;23118;21127;32600;27283;71190;446586;60545;92693;3638;533062;13179;12087;3342;7067;71960;9674;89515;283199;7613;4957;8286;6231;20878;31882;14624
01/05/2017;14844;85477;23183;21406;33507;28025;72715;447834;59373;89927;3787;536314;14623;12618;3927;7673;75605;9800;89243;291625;8484;5986;8354;7153;22234;32030;14211
01/06/2017;14942;85966;23819;21739;33581;28260;69849;444343;60174;86430;3813;536675;14823;13103;3158;7044;78042;9612;87123;289508;8223;5928;7884;6825;22183;31607;13891
01/07/2017;14933;85481;23439;20516;33268;27794;69898;437904;58449;84532;3598;541970;15114;12669;2939;7060;77792;9712;90384;289526;8103;5720;8270;6488;22660;29546;13282
01/08/2017;15084;85328;23477;20831;34379;28430;67858;437551;57568;84709;3662;542139;15400;12167;3034;7284;75913;10017;88737;288779;8593;5781;8767;6506;22960;29886;14138
01/09/2017;15326;85003;23428;21807;34813;28245;68393;440135;58411;84634;3780;544359;15514;11349;2972;7842;74543;8804;88898;289866;8998;6871;8837;6812;23259;31531;14359
01/10/2017;14501;84825;24249;21356;34172;27690;69040;442307;59456;85829;3651;538409;16783;10954;3046;8491;76236;9714;91797;296068;9694;5787;8836;6483;23743;32293;13922
01/11/2017;14241;84686;24324;20948;33878;27851;69227;441516;61055;84473;3448;562039;16608;11869;2885;7282;77224;9522;90566;298334;10510;7190;8763;7007;23825;33294;14103
01/12/2017;14835;85873;24284;21702;34257;28521;69961;447371;62032;85875;3221;565020;16132;11371;2911;7455;77229;10187;87323;294311;9299;6095;8892;6965;24061;33556;14305
01/01/2018;14394;85175;24644;22020;34192;29172;68321;465821;61806;104763;3366;570932;17257;11418;3309;7672;76362;9998;86762;292980;9051;4721;9135;6737;24251;33831;15146
01/02/2018;14851;90540;24860;22698;34494;29650;71401;477978;64444;103119;3466;576594;17609;11471;3237;7024;76421;9434;87072;293853;9416;4828;8765;6680;24203;34254;16221
01/03/2018;15488;86382;26375;22152;33651;29133;69551;469820;64138;100509;3425;572219;18027;11720;3208;7544;79243;9476;86537;296298;9629;5475;9049;6631;24119;33988;14668
01/04/2018;15907;87142;24449;22601;34300;30491;69410;471318;64661;99404;3744;573855;18175;11838;3322;7622;79661;9329;90146;303201;10011;5209;9297;6727;25575;34439;15100
01/05/2018;16196;87727;24288;23109;34507;30472;71616;472940;66768;95717;3484;577087;17865;12469;3408;8422;78911;9808;91223;305512;10253;5537;9318;6825;23912;34685;15871
01/06/2018;16423;82933;23948;22409;33251;30166;71016;461819;65817;93790;3305;569346;17725;12664;3597;8205;76424;9588;92609;305835;10151;5340;9174;6214;24219;35374;16833
01/07/2018;16349;82198;23875;22111;33267;31040;70236;461304;66936;92529;3423;559852;17909;13342;3476;8676;77821;9483;93736;308893;9754;5505;8983;6583;22851;37547;16185
01/08/2018;16409;82000;23444;22030;34317;31429;74205;467011;68736;91426;3561;550497;18004;12619;3563;8937;82001;9476;97166;316476;10487;5000;9121;6466;23579;36156;16075
01/09/2018;15929;82594;23534;22123;34110;31021;74559;464825;68862;89600;3488;551118;17594;12919;3778;8936;79903;9083;93451;304449;9089;4703;9082;5721;21883;35395;14210
01/10/2018;15342;80160;23805;23107;34353;31055;73729;462942;70769;88046;3472;536547;17511;12968;3889;8525;79185;9493;91365;305409;10021;5315;9276;6049;23021;35878;14476
01/11/2018;15566;74826;23796;22213;32683;30617;73658;452225;68294;87187;3623;538953;18180;12465;4062;7986;79262;9568;92322;303664;9643;5389;9075;5852;22270;36468;13407
01/12/2018;15552;73899;25163;21918;34763;31149;76376;462060;70395;88767;3707;519036;18920;12018;4362;8530;82760;9197;87923;303244;10167;5025;9594;5591;23564;35277;13558
01/01/2019;15587;75483;22012;22164;35312;31241;77017;458626;71944;82947;3720;517390;19484;12663;4474;9317;83074;9451;93503;314065;10156;6461;9121;5968;23501;37402;13737
01/02/2019;16012;75251;21673;21598;35289;31325;80674;465357;72084;86874;3641;516797;18667;14242;4082;9055;83516;9585;100044;323842;10257;6748;9749;6044;23232;37356;14635
01/03/2019;16235;75893;22223;22080;35903;32015;81345;474886;73266;92067;3579;517696;18153;14236;4318;9480;83264;9117;99595;323871;10509;5693;8923;6079;24403;37496;15320
01/04/2019;16062;75052;22087;21742;35115;32504;82255;480435;74856;98967;3827;522630;15925;14528;3994;8917;85716;9772;111627;344001;10758;7595;9765;6591;24610;39104;16044
01/05/2019;15554;78027;21789;21355;35767;32125;80460;489938;76278;106272;3776;528461;16771;14642;3883;8830;84780;9580;105831;339774;10668;7339;10091;6248;26190;40875;15360
01/06/2019;15600;80709;21725;21233;36006;33370;81079;499431;75813;111652;3889;540442;16622;15304;3985;9082;85197;9361;101744;337020;10936;6839;11297;6416;25364;40565;15450
01/07/2019;15065;80563;21844;21833;37214;32891;81246;508131;80411;114776;3857;552575;16724;14853;4211;9124;89183;9472;100540;343366;11250;7587;12004;6677;25779;41496;16138
01/08/2019;16126;82623;22380;22249;36542;32713;81085;519560;82823;119605;3876;559755;17613;15113;3826;9438;88246;9606;96363;339654;11750;8449;12566;7122;25872;41352;15448
01/09/2019;16078;83146;22434;22038;37747;31801;80323;520507;79831;124136;3655;563783;17555;14811;4158;8877;90686;9538;98315;346339;11835;8483;12769;7491;27633;40727;16684
01/10/2019;15816;84825;22047;21427;37859;32407;79549;525057;81122;127089;3796;567704;17207;14622;4206;9123;92539;9455;92844;341570;11724;7956;13952;7819;25380;40390;17413
01/11/2019;16146;86983;21970;21086;39083;32857;81660;531161;81564;127813;3628;580112;16535;14892;4040;9252;91248;9410;91841;343944;12090;8127;14922;7820;25968;42205;17978
01/12/2019;15538;83972;23097;20830;39196;32491;80512;524947;79424;128531;3589;586250;16058;15469;3988;9394;89325;9805;94439;347096;12153;8813;15609;8122;26344;42863;17364
01/01/2020;15221;87284;23597;20459;39444;32138;78776;523187;84309;120510;3777;598551;15990;15569;4157;9254;91469;9217;103558;362763;12260;7865;17795;9616;27126;44481;18443
01/02/2020;15127;89285;23821;20154;39372;32202;77990;521188;85246;116379;3623;609465;16411;15514;4123;8930;91923;9344;102909;361764;12198;8224;17559;9373;26668;44552;18404
01/03/2020;15019;88068;23813;19798;39711;30177;78456;514152;84280;113176;3635;617132;16657;14750;4368;8485;93823;9622;106265;365883;12459;8536;18456;9168;26017;43456;18264
01/04/2020;13627;86836;24012;18671;38368;28718;74051;496322;79460;111032;3181;595620;16903;14306;4358;8570;94448;9322;101793;359763;11978;8033;18355;8765;26317;42444;18466
01/05/2020;12767;86160;23800;19056;37919;28197;73137;492143;80634;108816;3421;583199;16677;14141;4095;8593;95369;9400;106356;367685;12229;8790;18452;9060;26133;44314;18312
01/06/2020;12191;87239;23634;19211;39840;27591;74086;496124;82723;107691;3472;589685;16746;14476;3886;8924;92875;9565;104708;363885;12850;7199;18114;9494;26708;44387;18553
01/07/2020;13218;83843;24041;19225;40358;27081;75185;493423;80765;108011;3385;609849;16627;14930;4202;9373;90088;9528;100219;357848;12917;6889;18210;9852;27070;43998;18873
01/08/2020;13352;81921;23978;18535;39045;26105;73925;484271;78982;107297;3513;641103;16030;14882;4061;9118;89759;9464;98181;354687;12662;7184;17241;9581;26306;46282;18005
01/09/2020;13228;82649;23865;18041;38341;25889;72709;483009;79517;107949;3482;662353;15885;15545;4067;8901;90335;9787;96080;354928;12558;6878;17921;9893;27226;45453;18557
01/10/2020;13265;84747;23615;17914;38791;24992;75260;486381;78022;109209;3434;684180;15879;14600;4172;8500;89471;9671;101717;354635;11694;7601;16315;9704;26547;44320;18354
01/11/2020;12889;84704;22856;17484;38699;24030;73233;479857;76452;108528;3520;702717;16040;14233;4205;8613;92265;9513;103912;358379;12119;6873;15796;10023;27308;43660;18354
01/12/2020;12408;83831;23495;16820;38288;22425;74403;479213;76898;109917;3270;725025;15967;13954;4076;8295;91432;9793;103747;358825;11659;7105;15854;9696;27959;45346;18062
01/01/2021;13239;85855;22606;16225;40774;22649;76350;487039;78379;109799;3437;748052;16333;14457;4328;8419;90864;9633;104514;361450;12461;8112;16769;10020;27431;45048;18276
01/02/2021;12341;85006;22697;16123;39376;21912;75580;482055;76169;111520;3307;742853;16401;13412;4101;7905;89346;9416;100915;350143;12131;7852;15383;9993;26795;43519;18423
01/03/2021;12946;89757;22844;16264;39893;21260;77959;494365;79579;112443;3262;757335;16530;13811;3892;7691;87111;9462;100992;350774;12215;7710;14397;10571;27351;45369;19665
01/04/2021;13003;90757;22589;16031;39989;20349;76564;490488;78460;111789;3159;766640;16033;14412;3988;7430;85824;9622;101905;348729;12049;7493;12824;9780;28311;44264;19496
01/05/2021;13626;90532;22949;15951;39216;18649;76124;487791;77882;111655;3114;779374;16233;14025;4148;7444;84971;9722;107452;351534;11688;7054;12699;9582;28119;43264;19871
01/06/2021;13603;91802;23060;16217;40123;18187;78396;493292;77482;113201;2942;792075;16455;13542;3413;7678;83736;9790;101342;344634;12302;8339;12391;9779;28842;42575;19481
01/07/2021;13725;93898;22811;16568;39882;17849;80227;496732;77915;112434;2970;806948;16722;12845;3503;8341;82555;10330;101247;345203;12489;9073;12498;9463;28777;43037;19232
01/08/2021;13539;94712;22696;16760;40127;16815;80893;495095;77305;111230;2870;813307;16351;12563;3581;7878;84463;10325;103500;348780;12394;9189;12145;9574;29584;41734;20097
01/09/2021;13835;95956;22780;17453;40436;16501;81483;496612;77408;110204;2883;819594;15836;12350;3392;7130;82172;10279;103003;341723;12669;9208;11326;9404;28478;40396;20097
01/10/2021;14955;97577;22961;16962;40695;16228;87133;502628;76359;108755;3112;828907;15994;13112;3415;8104;79898;10377;105101;344056;12675;9434;11316;9652;28489;41268;19738
01/11/2021;14880;102323;23074;17456;41386;16512;93420;515402;77343;107863;3113;852881;16278;13398;3606;8086;82008;10963;103693;348439;12553;10727;11226;9863;28839;41956;20136
01/12/2021;14484;104311;23067;18334;41133;16285;93364;515033;76439;105212;3066;881281;17151;13399;3466;8285;82551;10823;105933;348348;12597;9271;10911;9765;28381;41028;20560
01/01/2022;15501;107758;23307;18633;41577;16329;97276;521907;75738;104439;2794;912687;16220;13551;3484;8573;83677;10954;106506;352075;12971;8958;11195;9792;29062;42308;19779
01/02/2022;15965;109959;23324;18683;42187;16799;97563;525726;75986;103883;3011;931898;16094;14025;3618;8266;83694;10997;108547;356365;13368;9071;11502;9739;29741;41994;20558
01/03/2022;15763;110906;23693;18402;42599;17629;101623;531524;76811;102642;2983;949368;16283;13863;3922;9478;83398;11072;108455;359046;13517;9315;11735;9700;30572;41915;20769
01/04/2022;16423;114347;24158;19134;43922;18221;107091;545022;79402;100584;3007;965838;16576;13733;3800;9136;83301;11105;113096;362465;13066;9224;11391;9428;31160;40993;21163
01/05/2022;16463;114304;24133;18797;43130;18515;109595;544106;77276;100029;3074;969636;16705;13192;3986;9064;82893;11280;109117;357747;13354;9034;11495;9408;30780;40645;21680
01/06/2022;16201;116897;24005;18785;43247;18725;108167;546267;77284;100793;3082;955943;16785;13768;4295;9065;84132;11389;106751;361518;12805;9295;11621;9457;31390;41400;24176
01/07/2022;16181;120991;24481;18950;43076;18786;117242;559199;77016;99673;3126;929672;17078;13801;4425;9444;82711;11437;114282;370475;13043;9805;12032;9916;32935;41142;24045
01/08/2022;15810;119737;24453;18353;43436;20042;119292;561457;78981;98265;3037;907606;17270;14092;4380;9587;80616;11469;115561;368678;12498;9205;11366;9544;33241;41302;24229
01/09/2022;15327;120032;24449;18422;42939;20790;122160;563872;78908;96694;2993;891657;18522;13893;4384;9072;81072;11140;118820;372065;12818;9899;11103;9336;32693;41775;24117
01/10/2022;15641;121728;24563;19271;44044;21612;120245;567845;79818;97110;2612;877990;18525;14755;4453;9889;83358;11897;117049;375535;13174;10622;11181;9107;32656;41475;24015
01/11/2022;16255;122141;24825;20446;44692;21674;131312;585319;81627;97911;2735;865170;18928;15191;4491;11342;85000;12032;117877;382059;13839;11519;11352;9659;33764;41030;23659
01/12/2022;16225;126812;24462;20404;45713;22261;132746;594609;82842;98464;2908;853718;18883;14865;4521;9714;86332;11889;120050;383185;13480;11538;10922;9385;34079;41486;23303
01/01/2023;15100;122346;24398;20390;47016;22241;164186;627226;82130;104376;3174;856046;18888;14517;4579;11066;85379;12544;122859;389195;13467;11493;10977;9733;34557;43629;23117
01/02/2023;14935;123038;24379;20793;47973;22356;168545;636032;82547;106069;3225;847507;19006;14654;4547;10757;87122;12390;124325;396318;13538;12053;11425;9705;37040;43246;24112
01/03/2023;14964;122705;24222;21614;49247;22368;176948;644654;81540;105520;3243;846865;18902;14800;4769;12352;87990;12502;124295;399800;13232;12283;11698;10082;37284;43085;24294
01/04/2023;15230;123891;24211;22150;49396;22615;194403;665887;82368;106094;3021;824707;19029;16028;4918;12000;88535;12732;128495;407238;14114;12091;11693;10005;37320;43812;24381
01/05/2023;15290;123116;24159;22454;49234;22904;199731;670081;82821;105200;2998;853896;19211;16704;4645;11537;89951;12619;128856;412625;14017;12802;12858;10131;38431;43776;25337
01/06/2023;15808;125197;24135;22383;48931;23202;192447;665615;83961;103678;3216;860888;19431;17169;4571;11551;90607;12917;129270;419957;14386;13595;13167;9767;40382;44583;26525
01/07/2023;16073;130251;24461;22840;49752;23757;196698;678747;84277;104382;3329;855438;19509;17107;4363;10874;92041;12529;130916;424511;14938;16524;13114;10310;40238;43994;26459
01/08/2023;16086;131080;24657;23789;50433;24257;203865;693114;85327;106350;3514;875051;19691;17126;4238;11648;92847;12618;132845;431253;15415;16220;13441;10724;41473;45118;26869
01/09/2023;16310;131362;24738;23887;51135;24032;202834;695701;85460;108400;3522;869635;19588;17166;4656;11962;97336;12743;134554;441423;15607;18161;13267;10752;41889;45191;27653
01/10/2023;16519;129857;24921;23791;52132;23529;206692;701176;85398;110400;4002;889911;19690;17931;4862;12211;100470;13102;140963;456848;15932;19114;14533;10969;42496;45166;28754
01/11/2023;16716;131455;24858;25124;54338;23488;218173;722401;85923;113693;3901;886493;19767;18058;4666;11817;102224;13027;145893;463083;16013;19418;14632;10946;42344;44671;28853
01/12/2023;16879;131010;24859;25326;54164;23451;218876;724130;85593;115524;4052;893440;19685;18124;4818;11775;103421;13565;152778;472169;16335;19676;15460;11303;41277;44893;28607
01/01/2024;16836;126678;25033;25452;54658;22652;222549;720886;85407;113342;4154;885153;19671;18549;4657;11701;102711;13871;148712;469720;15771;19959;16588;11749;40857;46308;28348
01/02/2024;17043;126939;24936;25957;54914;23001;226259;729040;85932;115071;4159;893537;19768;19190;4634;11112;103148;13375;147118;471231;15913;21492;17325;11734;40990;46351;28738
01/03/2024;17107;125352;25012;25999;54451;22199;225534;723796;85724;113845;4089;889546;19881;19246;4732;11185;103621;13671;150369;476278;15636;21695;17647;11892;40841;46206;29318
01/04/2024;16943;123921;24850;25204;52895;21833;227614;721470;86031;113972;3946;890438;19985;19192;4726;11300;103452;13609;149578;475277;15611;21678;17636;11854;40577;46427;29458
